Size,Threshold,Time,Array Type
3100,15,1807.7,Random Array
3100,15,1757,Reversed Array
3100,15,1642.1,Nearly Sorted Array
3100,20,1862.1,Random Array
3100,20,1638.3,Reversed Array
3100,20,1643.3,Nearly Sorted Array
3100,30,1865.3,Random Array
3100,30,1626.2,Reversed Array
3100,30,1233.7,Nearly Sorted Array
3100,50,1805.6,Random Array
3100,50,2038.5,Reversed Array
3100,50,1137,Nearly Sorted Array
3200,5,3885.5,Random Array
3200,5,3090.1,Reversed Array
3200,5,3420.5,Nearly Sorted Array
3200,10,2436.8,Random Array
3200,10,2087.3,Reversed Array
3200,10,2429.9,Nearly Sorted Array
3200,15,1908,Random Array
3200,15,1718.4,Reversed Array
3200,15,1712.3,Nearly Sorted Array
3200,20,1850.1,Random Array
3200,20,1712.5,Reversed Array
3200,20,1654.4,Nearly Sorted Array
3200,30,1653.8,Random Array
3200,30,1683.4,Reversed Array
3200,30,1267.9,Nearly Sorted Array
3200,50,1729.4,Random Array
3200,50,2120.9,Reversed Array
3200,50,1145.4,Nearly Sorted Array
3300,5,3687.4,Random Array
3300,5,3165.5,Reversed Array
3300,5,3498.5,Nearly Sorted Array
3300,10,2437.5,Random Array
3300,10,2315.4,Reversed Array
3300,10,2212.6,Nearly Sorted Array
3300,15,1920.9,Random Array
3300,15,1841.5,Reversed Array
3300,15,1687.4,Nearly Sorted Array
3300,20,2027.3,Random Array
3300,20,1777.1,Reversed Array
3300,20,1613,Nearly Sorted Array
3300,30,1665.7,Random Array
3300,30,1764,Reversed Array
3300,30,1325.1,Nearly Sorted Array
3300,50,1685.7,Random Array
3300,50,1758.2,Reversed Array
3300,50,1363.1,Nearly Sorted Array
3400,5,3512.5,Random Array
3400,5,3467.7,Reversed Array
3400,5,3418.6,Nearly Sorted Array
3400,10,2518.6,Random Array
3400,10,2204.1,Reversed Array
3400,10,2257.6,Nearly Sorted Array
3400,15,1945.2,Random Array
3400,15,1856.6,Reversed Array
3400,15,1652.3,Nearly Sorted Array
3400,20,1960.6,Random Array
3400,20,1865.2,Reversed Array
3400,20,1704.7,Nearly Sorted Array
3400,30,1743.8,Random Array
3400,30,1837.4,Reversed Array
3400,30,1382.2,Nearly Sorted Array
3400,50,1731.8,Random Array
3400,50,1846.5,Reversed Array
3400,50,1370.4,Nearly Sorted Array
3500,5,5030,Random Array
3500,5,4849.3,Reversed Array
3500,5,4671.1,Nearly Sorted Array
3500,10,3877.3,Random Array
3500,10,3522,Reversed Array
3500,10,3682.1,Nearly Sorted Array
3500,15,1970.2,Random Array
3500,15,1945.4,Reversed Array
3500,15,1697.1,Nearly Sorted Array
3500,20,2102.3,Random Array
3500,20,1876,Reversed Array
3500,20,1718.1,Nearly Sorted Array
3500,30,1819.1,Random Array
3500,30,1883,Reversed Array
3500,30,1448,Nearly Sorted Array
3500,50,1846.8,Random Array
3500,50,1905.2,Reversed Array
3500,50,2131.1,Nearly Sorted Array
3600,5,4198.6,Random Array
3600,5,3349,Reversed Array
3600,5,4185,Nearly Sorted Array
3600,10,2757.6,Random Array
3600,10,2519.2,Reversed Array
3600,10,2816.6,Nearly Sorted Array
3600,15,2071.9,Random Array
3600,15,2619.4,Reversed Array
3600,15,1725.8,Nearly Sorted Array
3600,20,2068.5,Random Array
3600,20,2052.7,Reversed Array
3600,20,1738.7,Nearly Sorted Array
3600,30,1990.3,Random Array
3600,30,1978.7,Reversed Array
3600,30,1417,Nearly Sorted Array
3600,50,2065.7,Random Array
3600,50,1962.1,Reversed Array
3600,50,1448.2,Nearly Sorted Array
3700,5,3820.7,Random Array
3700,5,3760.8,Reversed Array
3700,5,4161,Nearly Sorted Array
3700,10,3034,Random Array
3700,10,3750.7,Reversed Array
3700,10,2871.2,Nearly Sorted Array
3700,15,2362.3,Random Array
3700,15,2131.9,Reversed Array
3700,15,2053.7,Nearly Sorted Array
3700,20,2865,Random Array
3700,20,2065,Reversed Array
3700,20,1811.1,Nearly Sorted Array
3700,30,2173.4,Random Array
3700,30,2078.5,Reversed Array
3700,30,1743.1,Nearly Sorted Array
3700,50,2374,Random Array
3700,50,2119.6,Reversed Array
3700,50,1476.9,Nearly Sorted Array
3800,5,4189.1,Random Array
3800,5,3678.6,Reversed Array
3800,5,5007.1,Nearly Sorted Array
3800,10,3057.1,Random Array
3800,10,2817.4,Reversed Array
3800,10,2590.8,Nearly Sorted Array
3800,15,2660.8,Random Array
3800,15,2124.4,Reversed Array
3800,15,1835.2,Nearly Sorted Array
3800,20,2201.5,Random Array
3800,20,2022.2,Reversed Array
3800,20,1959.2,Nearly Sorted Array
3800,30,1998.3,Random Array
3800,30,2093.5,Reversed Array
3800,30,1509.5,Nearly Sorted Array
3800,50,1991.3,Random Array
3800,50,2154.8,Reversed Array
3800,50,1535.9,Nearly Sorted Array
3900,5,4027.5,Random Array
3900,5,3724,Reversed Array
3900,5,3606.5,Nearly Sorted Array
3900,10,2853.7,Random Array
3900,10,2440.5,Reversed Array
3900,10,2568.1,Nearly Sorted Array
3900,15,2562.4,Random Array
3900,15,2256.2,Reversed Array
3900,15,2051.3,Nearly Sorted Array
3900,20,2233.7,Random Array
3900,20,2051,Reversed Array
3900,20,1885.9,Nearly Sorted Array
3900,30,2107.8,Random Array
3900,30,2135.1,Reversed Array
3900,30,1713.8,Nearly Sorted Array
3900,50,2075.4,Random Array
3900,50,2158,Reversed Array
3900,50,1549.3,Nearly Sorted Array
4000,5,3829.1,Random Array
4000,5,3415.4,Reversed Array
4000,5,3549.7,Nearly Sorted Array
4000,10,2893.3,Random Array
4000,10,2507.5,Reversed Array
4000,10,2585,Nearly Sorted Array
4000,15,2718.3,Random Array
4000,15,2366.5,Reversed Array
4000,15,2257.3,Nearly Sorted Array
4000,20,2229.5,Random Array
4000,20,2136.6,Reversed Array
4000,20,1912.6,Nearly Sorted Array
4000,30,2216,Random Array
4000,30,2109,Reversed Array
4000,30,2036.2,Nearly Sorted Array
4000,50,2053.9,Random Array
4000,50,2224.2,Reversed Array
4000,50,1577.6,Nearly Sorted Array
4100,5,3834.1,Random Array
4100,5,3790.1,Reversed Array
4100,5,3921.8,Nearly Sorted Array
4100,10,2829.6,Random Array
4100,10,2480,Reversed Array
4100,10,2597.9,Nearly Sorted Array
4100,15,2910.9,Random Array
4100,15,2605.7,Reversed Array
4100,15,2630.7,Nearly Sorted Array
4100,20,2274.1,Random Array
4100,20,2158.3,Reversed Array
4100,20,1927.7,Nearly Sorted Array
4100,30,2355.2,Random Array
4100,30,2171.2,Reversed Array
4100,30,2012.5,Nearly Sorted Array
4100,50,2180.7,Random Array
4100,50,2332.7,Reversed Array
4100,50,1664.3,Nearly Sorted Array
4200,5,5342.1,Random Array
4200,5,5160.9,Reversed Array
4200,5,5821,Nearly Sorted Array
4200,10,3078.7,Random Array
4200,10,2632.2,Reversed Array
4200,10,4351,Nearly Sorted Array
4200,15,3239.5,Random Array
4200,15,3874.7,Reversed Array
4200,15,2966.8,Nearly Sorted Array
4200,20,3356.6,Random Array
4200,20,2697.9,Reversed Array
4200,20,3558.8,Nearly Sorted Array
4200,30,3600.1,Random Array
4200,30,2937.8,Reversed Array
4200,30,2099.2,Nearly Sorted Array
4200,50,2289.3,Random Array
4200,50,2935.3,Reversed Array
4200,50,1676.4,Nearly Sorted Array
4300,5,3922.3,Random Array
4300,5,3566.8,Reversed Array
4300,5,3694.4,Nearly Sorted Array
4300,10,2896.4,Random Array
4300,10,2610.2,Reversed Array
4300,10,2606.3,Nearly Sorted Array
4300,15,3453.6,Random Array
4300,15,2643.6,Reversed Array
4300,15,2718.7,Nearly Sorted Array
4300,20,2501.6,Random Array
4300,20,2268.9,Reversed Array
4300,20,2069.6,Nearly Sorted Array
4300,30,2391.2,Random Array
4300,30,2319.5,Reversed Array
4300,30,2022,Nearly Sorted Array
4300,50,2684.3,Random Array
4300,50,2499.8,Reversed Array
4300,50,1735.1,Nearly Sorted Array
4400,5,4037,Random Array
4400,5,3562.3,Reversed Array
4400,5,3902.6,Nearly Sorted Array
4400,10,3177.3,Random Array
4400,10,2761.6,Reversed Array
4400,10,2677.9,Nearly Sorted Array
4400,15,3050.7,Random Array
4400,15,2802,Reversed Array
4400,15,2701.7,Nearly Sorted Array
4400,20,2469.8,Random Array
4400,20,2326.4,Reversed Array
4400,20,2035.4,Nearly Sorted Array
4400,30,2521.9,Random Array
4400,30,2388.6,Reversed Array
4400,30,2087,Nearly Sorted Array
4400,50,2314.4,Random Array
4400,50,2588.4,Reversed Array
4400,50,1740.4,Nearly Sorted Array
4500,5,4128.6,Random Array
4500,5,3612.3,Reversed Array
4500,5,3761.4,Nearly Sorted Array
4500,10,3006.8,Random Array
4500,10,2868.4,Reversed Array
4500,10,2763.6,Nearly Sorted Array
4500,15,3077.7,Random Array
4500,15,2683.8,Reversed Array
4500,15,2677.9,Nearly Sorted Array
4500,20,2866.5,Random Array
4500,20,2460.6,Reversed Array
4500,20,2139.5,Nearly Sorted Array
4500,30,2624.6,Random Array
4500,30,2370.2,Reversed Array
4500,30,2073.9,Nearly Sorted Array
4500,50,2408.6,Random Array
